trial_id,condition_id,calibration_id,phase_code_id,receiver_id,preparation_id,hidden_label,click_mask,source_herald_time,gate_open_time,gate_close_time,energy_bound_id,quality_flags,mode_count,record_status
SYNTHETIC-0000000,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000001,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000002,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,3,8,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000003,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000004,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,0,1,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000005,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,0,1,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000006,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000007,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000008,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,3,8,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000009,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,0,1,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000010,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,0,1,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000011,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000012,commission-su4,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su4,1,2,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
