trial_id,condition_id,calibration_id,phase_code_id,receiver_id,preparation_id,hidden_label,click_mask,source_herald_time,gate_open_time,gate_close_time,energy_bound_id,quality_flags,mode_count,record_status
SYNTHETIC-0000000,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000001,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000002,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000003,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000004,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,0,1,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000005,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,0,1,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000006,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000007,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000008,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000009,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,0,1,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000010,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,0,1,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000011,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000012,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000013,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000014,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000015,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000016,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000017,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000018,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000019,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000020,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000021,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,0,1,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000022,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000023,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000024,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000025,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000026,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,2,4,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000027,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000028,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000029,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000030,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000031,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000032,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,3,8,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000033,commission-su8-embed,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,commission-su8-embed,1,2,,,,EXAMPLE_ONLY,NONE,8,SYNTHETIC_NOT_AN_EXPERIMENT
