trial_id,condition_id,calibration_id,phase_code_id,receiver_id,preparation_id,hidden_label,click_mask,source_herald_time,gate_open_time,gate_close_time,energy_bound_id,quality_flags,mode_count,record_status
SYNTHETIC-0000000,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000001,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000002,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,3,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000003,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000004,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,0,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000005,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,0,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000006,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000007,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000008,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,3,8,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000009,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,0,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000010,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,0,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000011,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000012,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,1,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000013,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,1,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000014,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,3,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000015,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,3,8,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000016,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000017,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000018,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,3,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000019,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,1,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000020,m1,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,D_Jhalf_minus_I_fixed,lambda_5,3,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
