case,penalty,theorem,independent_dual,abs_gap,max_psd_violation,solver_success
0,5.650944274301741,0.33222862379306084,0.33222862379302687,3.397282455352979e-14,8.46792728710459e-15,True
1,6.021193645549476,0.43407812419937486,0.4340781241918716,7.503275778475427e-12,1.8758913599975173e-12,True
2,1.3685415298805053,0.588293337697979,0.5882933376979445,3.452793606584237e-14,8.543509731053986e-15,True
3,7.1253321938999665,0.5318523958902014,0.5318523958894054,7.960299086562372e-13,2.0733217090774821e-13,True
4,3.951842849761251,0.45969585726708617,0.45969585726678025,3.059219544354619e-13,7.723350259304044e-14,True
5,1.4100272462672185,0.5322575423172052,0.5322575423172472,4.196643033083092e-14,0.0,True
6,0.9079297617956451,0.6253879832573271,0.6253879832572482,7.893685705084863e-14,1.974417367610715e-14,True
7,0.980394228616263,0.491296989558692,0.4912969895569988,1.6932011348558262e-12,4.953307797023361e-13,True
8,2.0216466248931537,0.47312362086162135,0.47312362086140186,2.1949109196839345e-13,5.500664867898839e-14,True
9,2.5930934951341,0.5210015108237357,0.5210015108234445,2.9121149935917856e-13,7.284312584544816e-14,True
10,2.4359585671270536,0.44812025879401085,0.44812025879395995,5.090372567906343e-14,1.5053496643657738e-14,True
11,0.6589212259019209,0.7156072980006042,0.7156072980004904,1.1379786002407855e-13,2.8582540658296865e-14,True
