r,penalty,p0,p1,p2,p3,C,E,F,optimal_score
0.8,0.3333333333333333,0.2570543574244397,0.25705435742444027,0.25705435742444005,0.22883692772667996,0.664674763534817,0.003288066583447713,0.33203716988173526,0.6635787413403345
0.8,1.0,0.2503885024945588,0.2503885024945587,0.2503885024945587,0.2488344925163239,0.6636198606993133,0.0015433103484012722,0.3348368289522854,0.6620765503509121
0.8,5.0,0.24058993919342397,0.24058993919342414,0.24058993919342403,0.2782301824197279,0.6608639625085292,0.00018381195270888995,0.3389522255387619,0.6599449027449847
0.8,20.0,0.23683416503130325,0.23683416503130314,0.23683416503130325,0.2894975049060904,0.6594549846811266,1.536463202078675e-05,0.3405296506868526,0.6591476920407109
0.2,0.3333333333333333,0.29842823584034944,0.29842823584034894,0.29842823584034905,0.10471529247895249,0.556699295264733,0.08466014094705354,0.3586405637882134,0.5284792482823819
0.2,1.0,0.26872873928263225,0.26872873928263247,0.26872873928263247,0.19381378215210285,0.5371964229922337,0.05426785900258868,0.40853571800517763,0.482928563989645
0.2,5.0,0.18095821542854246,0.1809582154285424,0.1809582154285423,0.4571253537143728,0.43606371247968306,0.00794608944026809,0.5559901980800488,0.3963332652783426
0.2,20.0,0.14036100789449077,0.14036100789449085,0.1403610078944908,0.5789169763165277,0.375186014511012,0.000620478751732545,0.6241935067372555,0.3627764394763611
0.05,0.3333333333333333,0.3220841347067191,0.32208413470671887,0.32208413470671887,0.033747595879843065,0.5320560548433392,0.14550179389656515,0.3224421512600957,0.4835554568778175
0.05,1.0,0.3007869580835524,0.3007869580835525,0.3007869580835524,0.09763912574934278,0.5148298887569674,0.12024009261971957,0.364930018623313,0.3945897961372479
0.05,5.0,0.12177069682090241,0.1217706968209025,0.12177069682090252,0.6346879095372925,0.26261419978482997,0.015318340372870443,0.7220674598422996,0.18602249792047776
0.05,20.0,0.05772276846040969,0.057722768460409635,0.05772276846040969,0.8268316946187709,0.14944094097223312,0.000715982106284152,0.8498430769214828,0.13512129884655008
