t,r,allowed_error,correct,wrong,inconclusive,weak_path_probability,branch
0.7,1,0,0.7,0.0,0.30000000000000004,0.25,unambiguous
0.7,1,0.0002,0.7000666666666667,0.0002,0.29973333333333346,0.24999999999999997,partial_vacuum_guessing
0.7,1,0.001,0.7003333333333334,0.001,0.2986666666666668,0.24999999999999997,partial_vacuum_guessing
0.7,1,0.005,0.7016666666666668,0.005,0.2933333333333335,0.24999999999999997,partial_vacuum_guessing
0.7,1,0.02,0.7066666666666668,0.02,0.2733333333333335,0.24999999999999997,partial_vacuum_guessing
0.7,1,0.08,0.7266666666666667,0.08,0.19333333333333347,0.24999999999999997,partial_vacuum_guessing
0.7,1,0.15,0.7500000000000001,0.15,0.10000000000000017,0.24999999999999997,partial_vacuum_guessing
0.7,1,0.25,0.7750000000000001,0.22499999999999987,0.0,0.24999999999999997,minimum_error
0.7,1,0.5,0.7750000000000001,0.22499999999999987,0.0,0.24999999999999997,minimum_error
0.7,0.8,0,0.6588235294117647,0.0,0.3411764705882353,0.29411764705882354,unambiguous
0.7,0.8,0.0002,0.6609428184933283,0.00019999999999997797,0.33885718150667177,0.2775512964762263,retuned_preparation
0.7,0.8,0.001,0.6629525423576644,0.0009999999999998899,0.3360474576423357,0.25748184030239873,retuned_preparation
0.7,0.8,0.005,0.6652454080070012,0.005,0.3297545919929989,0.22883692772667996,partial_vacuum_guessing
0.7,0.8,0.02,0.6702454080070012,0.02,0.3097545919929989,0.22883692772667996,partial_vacuum_guessing
0.7,0.8,0.08,0.6902454080070011,0.08,0.22975459199299886,0.22883692772667996,partial_vacuum_guessing
0.7,0.8,0.15,0.7135787413403345,0.15,0.13642125865966556,0.22883692772667996,partial_vacuum_guessing
0.7,0.8,0.25,0.7469120746736678,0.25,0.0030879253263322304,0.22883692772667996,partial_vacuum_guessing
0.7,0.8,0.5,0.7476840560052509,0.2523159439947491,0.0,0.22883692772667996,minimum_error
0.7,0.5,0,0.56,0.0,0.43999999999999995,0.4,unambiguous
0.7,0.5,0.0002,0.5670984450069543,0.000200000000000089,0.43270155499304563,0.37914729998013036,retuned_preparation
0.7,0.5,0.001,0.5752163732248632,0.001000000000000112,0.4237836267751367,0.3536675050718191,retuned_preparation
0.7,0.5,0.005,0.5906505143996622,0.004999999999999782,0.404349485600338,0.29814138742953683,retuned_preparation
0.7,0.5,0.02,0.6084256937139181,0.019999999999999907,0.371574306286082,0.20449801796023448,retuned_preparation
0.7,0.5,0.08,0.6289323936863109,0.08,0.291067606313689,0.1837722339831622,partial_vacuum_guessing
0.7,0.5,0.15,0.6522657270196444,0.15,0.1977342729803557,0.1837722339831622,partial_vacuum_guessing
0.7,0.5,0.25,0.6855990603529777,0.25,0.06440093964702237,0.1837722339831622,partial_vacuum_guessing
0.7,0.5,0.5,0.7016992952647332,0.2983007047352668,0.0,0.1837722339831622,minimum_error
0.7,0.2,0,0.35,0.0,0.65,0.625,unambiguous
0.7,0.2,0.0002,0.3643862003299707,0.00019999999999992246,0.6354137996700293,0.598953213696481,retuned_preparation
0.7,0.2,0.001,0.38184578797927,0.0010000000000000009,0.6171542120207301,0.566346807179875,retuned_preparation
0.7,0.2,0.005,0.4193070330817251,0.005000000000000171,0.5756929669182747,0.4923088694969191,retuned_preparation
0.7,0.2,0.02,0.47964240043768924,0.019999999999999907,0.5003575995623109,0.3577814277898408,retuned_preparation
0.7,0.2,0.08,0.5549489742783177,0.07999999999999985,0.36505102572168246,0.11616254593157581,retuned_preparation
0.7,0.2,0.15,0.5784792482823818,0.15,0.27152075171761814,0.10471529247895249,partial_vacuum_guessing
0.7,0.2,0.25,0.6118125816157152,0.25,0.1381874183842848,0.10471529247895249,partial_vacuum_guessing
0.7,0.2,0.5,0.6463594362117864,0.3536405637882136,0.0,0.10471529247895249,minimum_error
0.7,0.05,0,0.1217391304347826,0.0,0.8782608695652174,0.8695652173913043,unambiguous
0.7,0.05,0.0002,0.1361409643818354,0.00020000000000000573,0.8636590356181646,0.8476075723581422,retuned_preparation
0.7,0.05,0.001,0.15467706848143223,0.0010000000000000286,0.8443229315185677,0.8185307240880718,retuned_preparation
0.7,0.05,0.005,0.1986702081247535,0.004999999999999977,0.7963297918752466,0.746360589286085,retuned_preparation
0.7,0.05,0.02,0.2845899448080897,0.02000000000000196,0.6954100551919083,0.5946015867547494,retuned_preparation
0.7,0.05,0.08,0.45633112519165353,0.07999999999999996,0.4636688748083465,0.2461186087343556,retuned_preparation
0.7,0.05,0.15,0.5335554568778175,0.15,0.31644454312218256,0.033747595879843065,partial_vacuum_guessing
0.7,0.05,0.25,0.5668887902111508,0.25,0.1831112097888492,0.033747595879843065,partial_vacuum_guessing
0.7,0.05,0.5,0.6126665926583631,0.3873334073416369,0.0,0.033747595879843065,minimum_error
