error_budget,quantum_C,quantum_E,classical_C_exact,classical_E
0,0.7,0.0,0.5034146962085906,0
0.001,0.7003333333333334,0.001,0.5296559355735735,0.001
0.01,0.7033333333333334,0.01,0.5886760220075512,0.01
0.03,0.7100000000000001,0.03,0.6553181417211771,0.03
0.05,0.7166666666666668,0.05,0.7032779232884904,0.05
0.08,0.7266666666666667,0.08,0.7618087190410389,0.08
0.1,0.7333333333333334,0.1,0.7958270898584202,0.1
0.14,0.7466666666666667,0.14,0.8566278410678312,0.14
0.2,0.7666666666666667,0.2,0.8586096698183794,0.14139033018162062
0.3,0.7750000000000001,0.22499999999999987,0.8586096698183794,0.14139033018162062
