case,penalty,theorem,independent_dual,abs_gap,max_psd_violation,solver_success
0,5.650944274301741,0.33222862379306084,0.33222862379311857,5.773159728050814e-14,0.0,True
1,6.021193645549476,0.4340781241993737,0.43407812419586705,3.506639423278557e-12,1.6128948334700657e-12,True
2,1.3685415298805053,0.5882933376979792,0.588293337697954,2.5202062658991053e-14,6.161785220514665e-15,True
3,7.1253321938999665,0.5318523958902014,0.5318523958904119,2.1049828546892968e-13,0.0,True
4,3.951842849761251,0.4596958572670864,0.45969585726695295,1.3344880755994382e-13,3.4555378239267513e-14,True
5,1.4100272462672185,0.532257542317205,0.5322575423171096,9.536815781530095e-14,2.392843384982986e-14,True
6,0.9079297617956451,0.6253879832573266,0.6253879832573201,6.439293542825908e-15,1.619245780212912e-15,True
7,0.980394228616263,0.491296989558692,0.4912969895586868,5.218048215738236e-15,7.080460214447734e-14,True
8,2.0216466248931537,0.47312362086162185,0.47312362086161514,6.716849298982197e-15,1.6307093148431785e-15,True
9,2.5930934951341,0.5210015108237351,0.5210015108235362,1.9895196601282805e-13,4.971394932003215e-14,True
10,2.4359585671270536,0.44812025879401085,0.4481202587935741,4.367617378875366e-13,1.1159172544350504e-13,True
11,0.6589212259019209,0.7156072980006042,0.7156072980004538,1.504352198367087e-13,3.7704434555405715e-14,True
