r,penalty,p0,p1,p2,p3,C,E,F,optimal_score
0.8,0.3333333333333333,0.25705435742444005,0.25705435742444027,0.25705435742444016,0.22883692772667966,0.6646747635348172,0.003288066583447713,0.33203716988173504,0.6635787413403347
0.8,1.0,0.2503885024945589,0.2503885024945588,0.2503885024945588,0.24883449251632356,0.6636198606993132,0.0015433103484013833,0.3348368289522854,0.6620765503509118
0.8,5.0,0.24058993919342392,0.24058993919342408,0.24058993919342408,0.27823018241972786,0.6608639625085292,0.00018381195270877893,0.33895222553876203,0.6599449027449853
0.8,20.0,0.23683416503130325,0.23683416503130325,0.2368341650313032,0.2894975049060904,0.6594549846811266,1.536463202078675e-05,0.3405296506868526,0.6591476920407109
0.2,0.3333333333333333,0.2984282358403489,0.2984282358403494,0.2984282358403491,0.10471529247895268,0.556699295264733,0.08466014094705343,0.3586405637882135,0.5284792482823819
0.2,1.0,0.2687287392826327,0.2687287392826326,0.2687287392826326,0.1938137821521022,0.5371964229922338,0.054267859002589014,0.4085357180051772,0.4829285639896448
0.2,5.0,0.18095821542854224,0.18095821542854248,0.18095821542854237,0.45712535371437285,0.4360637124796828,0.007946089440268311,0.5559901980800489,0.39633326527834123
0.2,20.0,0.14036100789449074,0.1403610078944905,0.1403610078944906,0.578916976316528,0.37518601451101163,0.000620478751732545,0.6241935067372558,0.36277643947636073
0.05,0.3333333333333333,0.3220841347067188,0.3220841347067191,0.3220841347067189,0.0337475958798431,0.5320560548433392,0.14550179389656515,0.3224421512600957,0.4835554568778175
0.05,1.0,0.30078695808355227,0.30078695808355244,0.30078695808355244,0.09763912574934264,0.5148298887569674,0.12024009261971946,0.3649300186233131,0.394589796137248
0.05,5.0,0.12177069682090233,0.1217706968209024,0.1217706968209024,0.6346879095372929,0.26261419978482975,0.015318340372870498,0.7220674598422998,0.18602249792047726
0.05,20.0,0.057722768460409815,0.0577227684604097,0.057722768460409725,0.8268316946187708,0.14944094097223332,0.0007159821062841243,0.8498430769214825,0.13512129884655083
